feature	weight
LTB4R	0
CMA1	0
CTSG	0
GZMH	0
GZMB	-0.0196025840015155
PRKD1	0
G2E3	0
NUBPL	0
ARHGAP5	0
AKAP6	0
EGLN3	0
LOC114679853	0
CFL2	0
NFKBIA	0
LRFN5	0
LOC106999411	0
LOC114679556	0
LOC106999414	0
LOC114679282	0
ABHD12B	0
TRIM9	0
LOC106999429	0
GNG2	0
DDHD1	0
SAMD4A	0
LGALS3	0
DLGAP5	0
PELI2	0
LOC106999440	0
DACT1	0
DAAM1	0
RTN1	0
PRKCH	0
HIF1A	0
SYT16	0
SYNE2	0
GPHN	0
RAD51B	0
LOC106999464	0
ZFP36L1	0
LOC114679593	0
PCNX1	0
SIPA1L1	0
RGS6	0
DNAL1	0
NPC2	0
FOS	0.0490530320647683
BATF	0
TTLL5	0
IRF2BPL	0
ZDHHC22	0
CEP128	0
LOC106999531	0
LOC114679617	0
GPR65	0
LOC106999532	0
LOC106999534	0
FOXN3	0
KCNK13	0
CATSPERB	0
RIN3	0
LGMN	0
UBR7	0
UNC79	0
PRIMA1	0
ASB2	0
IFI27	-0.0574687956195165
LOC114679630	0
SERPINA1	0
SERPINA5	0
GSC	0
LOC106999560	0
BDKRB1	0
WARS	0
LOC707695	0
RTL1	0
LOC106999572	0
HSP90AA1	0
TRAF3	0
CRIP2	0
CRIP1	0
LOC720839	0
LOC710905	0
LOC114679691	0
LOC708891	0
LOC711872	0
LOC114679695	0
TDRP	0
DLGAP2	0
ARHGEF10	0
LOC106999662	0
RTD1A	0
RTD1B	0
DEFA1B	0
BLK	0
TNKS	0
LOC114680399	0
MFHAS1	0
DLC1	0
C8H8orf48	0
SGCZ	0
LOC114680189	0
MSR1	0
LOC114680190	0
ZDHHC2	0
PSD3	0
LPL	0
LOC714576	0
SFTPC	0
EGR3	0
TNFRSF10C	0
TNFRSF10D	0
STC1	0
DOCK5	0
CDCA2	0
CHRNA2	0
LOC114680449	0
ESCO2	0
LOC114680212	0
PNOC	0
DUSP4	0
RBPMS	-0.322312836316585
LOC114680223	0
LOC114680514	0
UNC5D	0
RAB11FIP1	0
IDO1	0
IDO2	0
AP3M2	0
SPIDR	0
CEBPD	0
MCM4	0
LYN	0
FAM110B	0
CYP7A1	0
SDCBP	0
TOX	0
CA8	0
CHD7	0
NKAIN3	0
LOC710188	0
PDE7A	0
PREX2	0
SLCO5A1	0
NCOA2	0
MSC	0
LOC100430406	0
PKIA	0
IL7	0
LOC106999823	0
HEY1	0
ZBTB10	0
ZNF704	0
PAG1	0
FABP5	0
FABP4	0
CA13	0
CA1	0
RIPK2	0
LOC114680294	0
GEM	0
CCNE2	0
LOC106999837	0
GDF6	0
SDC2	0
CPQ	0
NIPAL2	0
STK3	0
OSR2	0
VPS13B	0
RNF19A	0
NCALD	0
KLF10	0
RIMS2	0
LRP12	0
OXR1	0
RSPO2	0
PKHD1L1	0
TRPS1	0
LOC114680434	0
LOC106999909	0
EXT1	0
SAMD12	0
CCN3	0
ENPP2	0
DSCC1	0
SNTB1	0
HAS2	0
ZHX2	0
ATAD2	0
LOC114680328	0
MTSS1	0
NSMCE2	0
TRIB1	0
MYC	0
LOC106999943	0
ASAP1	0
LOC114680337	0
LOC114680340	0
OC90	0
SLA	0
LOC114680346	0
LOC114680505	0
LOC114680349	0
KHDRBS3	0
AGO2	0
DENND3	0
LOC106999972	0
ARC	0
LY6K	0
LYPD2	0
LOC114680366	-0.02438335088437
LY6H	0
PLEC	0
LOC100429474	0
LOC106996377	0
DIP2C	0
PFKP	0
LOC107000013	0
LOC114670094	0
LOC114670190	0
IL15RA	0
IL2RA	0
PFKFB3	0
SFMBT2	0
LOC114669882	0
LOC114670105	0
CAMK1D	0
CCDC3	0
LOC107000046	0
FRMD4A	0
FAM107B	0
LOC697753	0
FAM171A1	0
VIM	0
TMEM236	0
CACNB2	0
NSUN6	0
SKIDA1	0
LOC114670278	0
DNAJC1	0
LOC107000073	0
KIAA1217	0
ARHGAP21	0
MYO3A	0
MKX	0
ARMC4	0
MPP7	0
LOC695267	0
MAP3K8	0
ZNF438	0
ZEB1	0
ITGB1	0
PARD3	0
CREM	0
LOC114669922	0
LOC114669923	0
LOC106996136	0
LOC114680581	0
CXCL12	0
LOC708538	0
MAPK8	0
ADIRF	0
DYDC1	0
SFTPA1	0
ADK	0
PLAU	0
MCU	0
DDIT4	0
SPOCK2	0
VSIR	0
LOC114669975	0
PRF1	-0.0347630688684659
PALD1	0
PPA1	0
DDX21	0
CTNNA3	0
JMJD1C	0
EGR2	0
RTKN2	0
ARID5B	0
CDK1	0
ANK3	0
BICC1	0
ASAH2	0
SGMS1	0
PAPSS2	0
RNLS	0
IFIT2	-0.0277756183265959
IFIT3	-0.0543946814981982
IFIT1	-0.0476952184968732
LOC114669827	0
KIF20B	0
HTR7	0
HECTD2	0
CPEB3	0
KIF11	0
EXOC6	0
HELLS	0
SORBS1	0
CC2D2B	0
LOC114670015	0
PIK3AP1	0
PGAM1	0
SFRP5	0
TLX1	0
NPM3	0
NOLC1	0
CNNM2	0
INA	0
LOC107000266	0
SORCS1	0
ADD3	0
MXI1	0
DUSP5	0
RBM20	0
LOC114670040	0
TCF7L2	0
TDRD1	0
VWA2	0
AFAP1L2	0
ATRNL1	0
PRLHR	0
RGS10	0
BAG3	0
LOC107000305	0
HMX3	0
LOC114670059	0
LOC114670061	0
ADAM12	0
MKI67	0
INPP5A	0
CFAP46	0
UTF1	0
CALY	0
FUOM	0
PAOX	0
LOC100427702	0
LOC114670155	0
MOV10L1	0
PIM3	0
CRELD2	0
GTSE1	0
PARVB	0
SCUBE1	0
